ARI NE TB @BUF LAR @SF NYJ SEA @CAR BYE SF @MIN @ATL WSH @MIA NO @SEA @LAR
ATL TB @OAK @NO CAR @DEN @SEA SD GB @TB @PHI BYE ARI KC @LAR SF @CAR NO
BAL BUF @CLE @JAX OAK WSH @NYG @NYJ BYE PIT CLE @DAL CIN MIA @NE PHI @PIT @CIN
BUF @BAL NYJ ARI @NE @LAR SF @MIA NE @SEA BYE @CIN JAX @OAK PIT CLE MIA @NYJ
CAR @DEN SF MIN @ATL TB @NO BYE ARI @LAR KC NO @OAK @SEA SD @WSH ATL @TB
CHI @HOU PHI @DAL DET @IND JAX @GB MIN BYE @TB @NYG TEN SF @DET GB WSH @MIN
CIN @NYJ @PIT DEN MIA @DAL @NE CLE WSH BYE @NYG BUF @BAL PHI @CLE PIT @HOU BAL
CLE @PHI BAL @MIA @WSH NE @TEN @CIN NYJ DAL @BAL PIT NYG BYE CIN @BUF SD @PIT
DAL NYG @WSH CHI @SF CIN @GB BYE PHI @CLE @PIT BAL WSH @MIN @NYG TB DET @PHI
DEN CAR IND @CIN @TB ATL @SD HOU SD @OAK @NO BYE KC @JAX @TEN NE @KC OAK
DET @IND TEN @GB @CHI PHI LAR WSH @HOU @MIN BYE JAX MIN @NO CHI @NYG @DAL GB
GB @JAX @MIN DET BYE NYG DAL CHI @ATL IND @TEN @WSH @PHI HOU SEA @CHI MIN @DET
HOU CHI KC @NE TEN @MIN IND @DEN DET BYE @JAX @OAK SD @GB @IND JAX CIN @TEN
IND DET @DEN SD @JAX CHI @HOU @TEN KC @GB BYE TEN PIT @NYJ HOU @MIN @OAK JAX
JAX GB @SD BAL IND BYE @CHI OAK @TEN @KC HOU @DET @BUF DEN MIN @HOU TEN @IND
KC SD @HOU NYJ @PIT BYE @OAK NO @IND JAX @CAR TB @DEN @ATL OAK TEN DEN @SD
LAR @SF SEA @TB @ARI BUF @DET NYG BYE CAR @NYJ MIA @NO @NE ATL @SEA SF ARI
MIA @SEA @NE CLE @CIN TEN PIT BUF BYE NYJ @SD @LAR SF @BAL ARI @NYJ @BUF NE
MIN @TEN GB @CAR NYG HOU BYE @PHI @CHI DET @WSH ARI @DET DAL @JAX IND @GB CHI
NE @ARI MIA HOU BUF @CLE CIN @PIT @BUF BYE SEA @SF @NYJ LAR BAL @DEN NYJ @MIA
NO OAK @NYG ATL @SD BYE CAR @KC SEA @SF DEN @CAR LAR DET @TB @ARI TB @ATL
NYG @DAL NO WSH @MIN @GB BAL @LAR BYE PHI CIN CHI @CLE @PIT DAL DET @PHI @WSH
NYJ CIN @BUF @KC SEA @PIT @ARI BAL @CLE @MIA LAR BYE NE IND @SF MIA @NE BUF
OAK @NO ATL @TEN @BAL SD KC @JAX @TB DEN BYE HOU CAR BUF @KC @SD IND @DEN
PHI CLE @CHI PIT BYE @DET @WSH MIN @DAL @NYG ATL @SEA GB @CIN WSH @BAL NYG DAL
PIT @WSH CIN @PHI KC NYJ @MIA NE BYE @BAL DAL @CLE @IND NYG @BUF @CIN BAL CLE
SD @KC JAX @IND NO @OAK DEN @ATL @DEN TEN MIA BYE @HOU TB @CAR OAK @CLE KC
SF LAR @CAR @SEA DAL ARI @BUF TB BYE NO @ARI NE @MIA @CHI NYJ @ATL @LAR SEA
SEA MIA @LAR SF @NYJ BYE ATL @ARI @NO BUF @NE PHI @TB CAR @GB LAR ARI @SF
TB @ATL @ARI LAR DEN @CAR BYE @SF OAK ATL CHI @KC SEA @SD NO @DAL @NO CAR
TEN MIN @DET OAK @HOU @MIA CLE IND JAX @SD GB @IND @CHI BYE DEN @KC @JAX HOU
WSH PIT DAL @NYG CLE @BAL PHI @DET @CIN BYE MIN GB @DAL @ARI @PHI CAR @CHI NYG
