EspnPred Actual Player myPred
14.9 28.6 Mariota 12.8
18.8 28.4 Roethlisberger 16.7
21.0 27.5 Rodgers 22.6
15.4 26.5 Wilson 10.6
12.8 23.9 Kaepernick 13.5
20.3 23.8 Newton 13
14.6 22.1 Flacco 14.8
16.3 21.0 Brees 13.9
12.6 19.2 Tannehill 11.9
17.9 18.8 Prescott 15.6
17.1 18.5 Winston 12
13.2 18.4 Cousins 11.2
12.6 18.3 Bradford 11.9
15.3 17.7 Bortles 14.8
16.8 17.0 Rivers 11.3
14.2 14.8 Siemian 12
18.2 14.6 Palmer 12.2
13.4 14.3 Osweiler 10.7
16.7 12.7 Ryan 17.9
17.9 11.3 Brady 15.5 
10.1 8.5 Petty 4.99 
16.7 8.4 Smith 11.2
15.3 8.2 Wentz 11.3
12.7 7.9 Kessler 10.6
12.0 7.7 Keenum 13
14.8 6.0 Cutler 7.08

